# Based on https://download.01.org/perfmon/SNB/sandybridge_core_v16.json
# Applies to processors with family-model in {6-2A}

# Loads delayed due to SB blocks, preceding store operations with known addresses but unknown data.
03.01 LD_BLOCKS.DATA_UNKNOWN
C4.10 BR_INST_RETIRED.NOT_TAKEN

# Taken branch instructions retired. (Precise Event - PEBS).
C4.20 BR_INST_RETIRED.NEAR_TAKEN

# Far branch instructions retired.
C4.40 BR_INST_RETIRED.FAR_BRANCH

# All mispredicted macro branch instructions retired.
C5.00 BR_MISP_RETIRED.ALL_BRANCHES

# Mispredicted conditional branch instructions retired. (Precise Event - PEBS).
C5.01 BR_MISP_RETIRED.CONDITIONAL

# Direct and indirect mispredicted near call instructions retired. (Precise Event - PEBS).
C5.02 BR_MISP_RETIRED.NEAR_CALL

# Mispredicted macro branch instructions retired. (Precise Event - PEBS).
C5.04 BR_MISP_RETIRED.ALL_BRANCHES_PEBS

# Mispredicted not taken branch instructions retired.(Precise Event - PEBS).
C5.10 BR_MISP_RETIRED.NOT_TAKEN

# Mispredicted taken branch instructions retired. (Precise Event - PEBS).
C5.20 BR_MISP_RETIRED.TAKEN

# Number of X87 assists due to output value.
CA.02 FP_ASSIST.X87_OUTPUT

# Number of X87 assists due to input value.
CA.04 FP_ASSIST.X87_INPUT

# Number of SIMD FP assists due to Output values.
CA.08 FP_ASSIST.SIMD_OUTPUT

# Number of SIMD FP assists due to input values.
CA.10 FP_ASSIST.SIMD_INPUT

# Cycles with any input/output SSE or FP assist.
CA.1E.CMSK=1 FP_ASSIST.ANY

# Count cases of saving new LBR.
CC.20 ROB_MISC_EVENTS.LBR_INSERTS

# Loads with latency value being above 16.
CD.01.MSR_3F6H=0x10.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_16

# Loads with latency value being above 256.
CD.01.MSR_3F6H=0x100.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_256

# Loads with latency value being above 32.
CD.01.MSR_3F6H=0x20.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_32

# Loads with latency value being above 512.
CD.01.MSR_3F6H=0x200.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_512

# Loads with latency value being above 4 .
CD.01.MSR_3F6H=0x4.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_4

# Loads with latency value being above 64.
CD.01.MSR_3F6H=0x40.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_64

# Loads with latency value being above 8.
CD.01.MSR_3F6H=0x8.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_8

# Loads with latency value being above 128.
CD.01.MSR_3F6H=0x80.CTR=3.TakenAlone MEM_TRANS_RETIRED.LOAD_LATENCY_GT_128

# Sample stores and collect precise store operation via PEBS record. PMC3 only. (Precise Event - PEBS).
CD.02.CTR=3.TakenAlone MEM_TRANS_RETIRED.PRECISE_STORE

# Retired load uops that miss the STLB. (Precise Event - PEBS).
D0.11 MEM_UOPS_RETIRED.STLB_MISS_LOADS

# Retired store uops that miss the STLB. (Precise Event - PEBS).
D0.12 MEM_UOPS_RETIRED.STLB_MISS_STORES

# Retired load uops with locked access. (Precise Event - PEBS).
D0.21 MEM_UOPS_RETIRED.LOCK_LOADS

# Retired load uops that split across a cacheline boundary. (Precise Event - PEBS).
D0.41 MEM_UOPS_RETIRED.SPLIT_LOADS

# Retired store uops that split across a cacheline boundary. (Precise Event - PEBS).
D0.42 MEM_UOPS_RETIRED.SPLIT_STORES

# All retired load uops. (Precise Event - PEBS).
D0.81 MEM_UOPS_RETIRED.ALL_LOADS

# All retired store uops. (Precise Event - PEBS).
D0.82 MEM_UOPS_RETIRED.ALL_STORES

# Retired load uops with L1 cache hits as data sources. (Precise Event - PEBS).
D1.01 MEM_LOAD_UOPS_RETIRED.L1_HIT

# Retired load uops with L2 cache hits as data sources. (Precise Event - PEBS).
D1.02 MEM_LOAD_UOPS_RETIRED.L2_HIT

# Retired load uops which data sources were data hits in LLC without snoops required. (Precise Event - PEBS).
D1.04 MEM_LOAD_UOPS_RETIRED.LLC_HIT

# Retired load uops which data sources were load uops missed L1 but hit FB due to preceding miss to the same cache line with data not ready. (Precise Event - PEBS).
D1.40 MEM_LOAD_UOPS_RETIRED.HIT_LFB

# Retired load uops which data sources were LLC hit and cross-core snoop missed in on-pkg core cache. (Precise Event - PEBS).
D2.01 MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_MISS

# Retired load uops which data sources were LLC and cross-core snoop hits in on-pkg core cache. (Precise Event - PEBS).
D2.02 MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HIT

# Retired load uops which data sources were HitM responses from shared LLC. (Precise Event - PEBS).
D2.04 MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM

# Retired load uops which data sources were hits in LLC without snoops required. (Precise Event - PEBS).
D2.08 MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_NONE

# Retired load uops with unknown information as data source in cache serviced the load. (Precise Event - PEBS).
D4.02 MEM_LOAD_UOPS_MISC_RETIRED.LLC_MISS

# Counts the total number when the front end is resteered, mainly when the BPU cannot provide a correct prediction and this is corrected by other branch handling mechanisms at the front end.
E6.1F BACLEARS.ANY

# Demand Data Read requests that access L2 cache.
F0.01 L2_TRANS.DEMAND_DATA_RD

# RFO requests that access L2 cache.
F0.02 L2_TRANS.RFO

# L2 cache accesses when fetching instructions.
F0.04 L2_TRANS.CODE_RD

# L2 or LLC HW prefetches that access L2 cache.
F0.08 L2_TRANS.ALL_PF

# L1D writebacks that access L2 cache.
F0.10 L2_TRANS.L1D_WB

# L2 fill requests that access L2 cache.
F0.20 L2_TRANS.L2_FILL

# L2 writebacks that access L2 cache.
F0.40 L2_TRANS.L2_WB

# Transactions accessing L2 pipe.
F0.80 L2_TRANS.ALL_REQUESTS

# L2 cache lines in I state filling L2.
F1.01 L2_LINES_IN.I

# L2 cache lines in S state filling L2.
F1.02 L2_LINES_IN.S

# L2 cache lines in E state filling L2.
F1.04 L2_LINES_IN.E

# L2 cache lines filling L2.
F1.07 L2_LINES_IN.ALL

# Clean L2 cache lines evicted by demand.
F2.01 L2_LINES_OUT.DEMAND_CLEAN

# Dirty L2 cache lines evicted by demand.
F2.02 L2_LINES_OUT.DEMAND_DIRTY

# Clean L2 cache lines evicted by L2 prefetch.
F2.04 L2_LINES_OUT.PF_CLEAN

# Dirty L2 cache lines evicted by L2 prefetch.
F2.08 L2_LINES_OUT.PF_DIRTY

# Dirty L2 cache lines filling the L2.
F2.0A L2_LINES_OUT.DIRTY_ALL

# Split locks in SQ.
F4.10 SQ_MISC.SPLIT_LOCK
